name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Tocomar,Thermal spring,Tuzgle-Tocomar,TO-25,47.0,7.9,848.0,803.0,243.0,28.0,3.89,837.0,81.7,10.2,133.5,-9.9,-76.4,207.0
Tocomar,Thermal spring,Tuzgle-Tocomar,RTO-30,54.0,8.0,823.0,848.0,270.0,43.0,4.13,848.0,76.0,10.9,137.3,-9.7,-81.1,197.0
Tocomar,Thermal spring,Tuzgle-Tocomar,TOC-1,35.0,6.7,725.0,808.0,192.0,7.3,4.2,740.0,65.0,10.0,67.0,-10.1,-84.0,211.2
Tocomar,Thermal spring,Tuzgle-Tocomar,TOC-2,45.0,6.5,730.0,828.0,185.0,5.8,4.2,730.0,64.0,10.0,67.0,-10.3,-84.0,213.2
Tocomar,Thermal spring,Tuzgle-Tocomar,TOC-3,62.0,6.8,740.0,828.0,187.0,12.0,3.7,740.0,66.0,10.0,69.0,-10.2,-84.0,207.1
Tocomar,Thermal spring,Tuzgle-Tocomar,TOC-4,47.0,6.6,720.0,828.0,183.0,8.6,3.7,740.0,66.0,10.0,68.0,-10.2,-84.0,210.5
Tocomar,Thermal spring,Tuzgle-Tocomar,TOC-5,55.0,6.6,720.0,828.0,186.0,12.0,3.6,725.0,69.0,10.0,61.0,-10.3,-86.0,210.6
Tocomar,Thermal spring,Tuzgle-Tocomar,TOC6,60.0,6.8,700.0,827.0,176.0,5.8,5.6,650.0,61.0,9.0,55.0,-10.0,-79.0,215.0
Antuco,Thermal spring,Antuco,551,28.0,6.0,854.0,8153.0,1152.0,481.0,182.0,5977.0,782.0,11.08,0.0,-8.9,-68.0,237.0
Antuco,Thermal spring,Antuco,552,27.0,6.1,854.0,8508.0,1152.0,481.0,170.0,5747.0,782.0,11.08,0.0,-8.9,-65.0,239.0
Antuco,Thermal spring,Antuco,553,28.0,6.1,854.0,8153.0,1152.0,481.0,158.0,5747.0,473.0,11.08,0.0,-8.9,-64.0,235.0
Antuco,Thermal spring,Antuco,554,28.0,6.2,854.0,8862.0,1201.0,481.0,170.0,5747.0,782.0,11.08,0.0,-8.9,-63.0,239.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,AC-TU-04,43.5,7.56,399.4,1044.0,223.8,52.1,7.29,767.8,97.4,8.17,125.6,-8.9,-77.0,214.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,AC-TU-05,48.6,7.65,399.4,1609.0,177.2,103.0,16.5,994.2,135.2,13.1,126.2,-9.8,-69.0,217.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,AC-TU-07,53.5,7.55,450.1,2218.0,136.9,131.5,22.6,1322.0,1442.8,14.9,129.2,-8.9,-77.0,206.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,AC-TU-08,50.0,7.45,420.1,2384.0,101.3,158.3,30.4,1336.0,159.6,16.5,135.0,-9.1,-51.6,211.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,AC-TU-10,42.5,7.75,462.9,1248.0,127.3,89.4,13.1,839.1,79.7,8.28,148.7,-8.9,-77.0,193.0
